CRM ID,SBU,Qtr of closure,Deal Status,Account Name,Opportunity Name,Expected TCV ($Mn),Deal Size bucket,Type of Business,Primary L1,Primary L2,Secondary L1,Secondary L2,Tertiary L1,Tertiary L2,Detailed Remarks,Bid Qualification (BQ)  Score,Winnability/ BQ  Feedback,SBU Head Involved,SL Heads Involved,Were we the lowest price? Y/N,Bid Timeline,Bid-Team size,Deal Scope,DD,EA,Client Partner/ Opp. Owner,BM
CRM300081,ASV,Q2'24,Won,Cadent,Opportunity 81,89.82,<250M,EE,Relationship,Customer Bias,Commercials,"Loading/Input parameters as per guidelines (productivity, HTR, Premium/niche, offshore)",Strategic_Initiatives,Customer GTM Growth,Won due to strong relationship and compelling commercials story. TCV $90.16 validated.,,,,,N,Q4'25,0,,,,,
CRM300082,IMEA,Q2'24,Aborted,GSK,Opportunity 82,81.86,<250M,EN,Solution,Orals Performance,Capability_or_Credentials,Local Presence,Solution,Availability of SMEs,Aborted due to qualification issues or lack of alignment in availability of smes.,,,,,Y,Q2'25,0,,,,,
CRM300083,APJ,Q4'24,Aborted,Cummins,Opportunity 83,95.14,<250M,EE,Commercials,Strong Business case/ Savings,Strategic_Initiatives,Strong Outcome-based Deal Strategy,Commercials,Optimized partner Rate cards,Aborted due to qualification issues or lack of alignment in optimized partner rate cards.,,,,,Y,Q3'25,0,,,,,
CRM300084,ASV,Q1'25,Won,Cummins,Opportunity 84,78.75,<250M,EN,Commercials,Cost & Rate benchmarks not available/non-standardised across org,Capability_or_Credentials,Language/  Regional/ Gender Diversity,Solution,PoV/ Thought Leadership,Won due to strong commercials and compelling capability_or_credentials story. TCV $75.84 validated.,,,,,N,Q1'25,0,,,,,
CRM300085,ASV,Q1'25,Won,Cummins,Opportunity 85,72.31,<250M,NN,Strategic_Initiatives,Mahindra Group leverage,Solution,Business value proposition,Capability_or_Credentials,Local Presence,Won due to strong strategic_initiatives and compelling solution story. TCV $93.6 validated.,,,,,N,Q4'25,0,,,,,
CRM300086,ASV,Q1'24,Aborted,MOHRE,Opportunity 86,60.81,<250M,EE,Commercials,Cost & Rate benchmarks not available/non-standardised across org,Relationship,"Competition and Incumbency (strategic, CSAT, delivery track record)",Relationship,"Client Relationship (CXOs, decision makers, influencers)","Aborted due to qualification issues or lack of alignment in client relationship (cxos, decision makers, influencers).",,,,,N,Q3'25,0,,,,,
CRM300087,APJ,Q3'25,Won,Etihad,Opportunity 87,72.86,<250M,EN,Capability_or_Credentials,Analyst Quadrant/ Brand Perception,Strategic_Initiatives,Mahindra Group leverage,Strategic_Initiatives,Strong Outcome-based Deal Strategy,Won due to strong capability_or_credentials and compelling strategic_initiatives story. TCV $5.1 validated.,,,,,Y,Q2'25,0,,,,,
CRM300088,IMEA,Q2'24,Won,MOHRE,Opportunity 88,97.85,<250M,NN,Capability_or_Credentials,Domain/ Functional Expertise / Industry trends,Strategic_Initiatives,Strong Outcome-based Deal Strategy,Capability_or_Credentials,Delivery Readiness (incl local presence),Won due to strong capability_or_credentials and compelling strategic_initiatives story. TCV $47.32 validated.,,,,,Y,Q3'25,0,,,,,
CRM300089,IMEA,Q1'24,Lost,MOHRE,Opportunity 89,30.63,<250M,EN,Relationship,Alliances/ Partners fit,Capability_or_Credentials,Domain/ Functional Expertise / Industry trends,Capability_or_Credentials,Delivery Readiness (incl local presence),Lost due to gaps in alliances/ partners fit and competitive pressure on domain/ functional expertise / industry trends.,,,,,N,Q1'25,0,,,,,
CRM300090,APJ,Q4'24,Won,Cummins,Opportunity 90,13.9,<250M,EE,Relationship,"Competition and Incumbency (strategic, CSAT, delivery track record)",Commercials,Optimized partner Rate cards,Capability_or_Credentials,"References (Scale, Domain, Usecase) & Case Studies",Won due to strong relationship and compelling commercials story. TCV $92.21 validated.,,,,,N,Q3'25,0,,,,,
CRM300091,APJ,Q4'24,Won,HSBC,Opportunity 91,85.52,<250M,EN,Strategic_Initiatives,Mahindra Group leverage,Solution,PoV/ Thought Leadership,Solution,Cookie cutter solutions for commoditised services vis-à-vis peers,Won due to strong strategic_initiatives and compelling solution story. TCV $97.55 validated.,,,,,Y,Q2'25,0,,,,,
CRM300092,Europe,Q2'25,Won,Etihad,Opportunity 92,62.97,<250M,EE,Commercials,"Commercial parameters as per guidelines (contingency, bought out)",Capability_or_Credentials,Delivery Readiness (incl local presence),Relationship,Customer Bias,Won due to strong commercials and compelling capability_or_credentials story. TCV $47.12 validated.,,,,,N,Q2'25,0,,,,,
CRM300093,Europe,Q4'24,Won,Cadent,Opportunity 93,93.2,<250M,EE,Relationship,Alliances/ Partners fit,Solution,"Process issues (Bid management, reviews, timeline available)",Strategic_Initiatives,Customer GTM Growth,Won due to strong relationship and compelling solution story. TCV $85.44 validated.,,,,,Y,Q2'25,0,,,,,
CRM300094,ASV,Q3'25,Won,Cadent,Opportunity 94,98.61,<250M,NN,Strategic_Initiatives,Strong Outcome-based Deal Strategy,Strategic_Initiatives,Strong Outcome-based Deal Strategy,Solution,"Process issues (Bid management, reviews, timeline available)",Won due to strong strategic_initiatives and compelling strategic_initiatives story. TCV $64.55 validated.,,,,,Y,Q3'25,0,,,,,
CRM300095,APJ,Q1'24,Aborted,HSBC,Opportunity 95,14.3,<250M,NN,Solution,Availability of SMEs,Capability_or_Credentials,Delivery Readiness (incl local presence),Relationship,Quality 360° Deal Intelligence/Validation (incl win price),Aborted due to qualification issues or lack of alignment in quality 360° deal intelligence/validation (incl win price).,,,,,N,Q2'25,0,,,,,
CRM300096,Europe,Q3'25,Aborted,MOHRE,Opportunity 96,81.63,<250M,EN,Solution,Cookie cutter solutions for commoditised services vis-à-vis peers,Relationship,Deal Coach availability/ fit,Capability_or_Credentials,Local Presence,Aborted due to qualification issues or lack of alignment in local presence.,,,,,N,Q4'25,0,,,,,
CRM300097,Europe,Q1'25,Won,MOHRE,Opportunity 97,28.91,<250M,EN,Commercials,Cost & Rate benchmarks not available/non-standardised across org,Relationship,"Competition and Incumbency (strategic, CSAT, delivery track record)",Strategic_Initiatives,Customer GTM Growth,Won due to strong commercials and compelling relationship story. TCV $78.88 validated.,,,,,N,Q3'25,0,,,,,
CRM300098,ASV,Q2'25,Lost,Cummins,Opportunity 98,96.48,<250M,EN,Solution,PoV/ Thought Leadership,Capability_or_Credentials,Domain/ Functional Expertise / Industry trends,Relationship,"Competition and Incumbency (strategic, CSAT, delivery track record)",Lost due to gaps in pov/ thought leadership and competitive pressure on domain/ functional expertise / industry trends.,,,,,Y,Q3'25,0,,,,,
CRM300099,APJ,Q3'25,Won,MOHRE,Opportunity 99,29.77,<250M,EN,Capability_or_Credentials,Local Presence,Solution,Business value proposition,Commercials,"Commercial parameters as per guidelines (contingency, bought out)",Won due to strong capability_or_credentials and compelling solution story. TCV $21.57 validated.,,,,,Y,Q2'25,0,,,,,
CRM300100,IMEA,Q4'24,Aborted,GSK,Opportunity 100,62.1,<250M,NN,Capability_or_Credentials,Domain/ Functional Expertise / Industry trends,Strategic_Initiatives,Strong Outcome-based Deal Strategy,Strategic_Initiatives,Customer GTM Growth,Aborted due to qualification issues or lack of alignment in customer gtm growth.,,,,,N,Q1'25,0,,,,,
